i,sect,over_sati_with,comp_with_whic,comp_inte_with,trus_exte_of,prof_exte_of,bran_bran_outl,comp_exte_of,ease_of_doin,proc_and_proc,cust_focu_inno,enga_with_cust,orde_of_impo,orde_of_impo_1,orde_of_impo_2,orde_of_impo_3,orde_of_impo_4,orde_of_impo_5,orde_of_impo_6,orde_of_impo_7,impr_on_cust,pref_of_serv,sati_diss,like_to_reco,mean_of_inte,chan_of_inte,gend,ag,regi,high_educ,inco,nati,awar_of_surv,company_id,impr_on_cust_sentiment,nps_category,age_category,income_category
10377,4,0.7142857142857143,"Queens clinic and Maternity, Daughters of Charity, Cedarcrest Hospitals,",CEDARCREST HOSPITAL,0.7142857142857143,0.5714285714285714,1.0,0.5714285714285714,0.8571428571428571,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.625,0.75,0.125,0.875,0.375,0.5,0.25,1.0,Most private hospitals are actually doing well but we still have some that are really not professional,7,4,5,Both Digital and Traditional Channels,"Email,In Person,",Female,30 - 34,Abuja,University (BSc/BA/B.Ed) Or Polytechnic (HND) Graduate,"N151,000 - N199,000",Nigerian,,COMP_00240,NEGATIVE,detractor,Mid-Level Professionals,Middle-High Income
19581,4,0.7142857142857143,"Queens Specialist Hospital, Apo Resettlement Abuja,","QUEENS SPECIALIST HOSPITAL, APO RESETTLEMENT ABUJA",0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.8571428571428571,0.75,0.375,0.125,0.25,1.0,0.5,0.875,0.625,Fair Enough,5,5,7,Traditional Channels,"In Person,",Female,25 - 29,Abuja,University (BSc/BA/B.Ed) Or Polytechnic (HND) Graduate,"N200,000 - N300,000",Nigerian,AYOOLA ENIKANOLAIYE BCCS2024,COMP_01197,NEUTRAL,passive,Early Career,Middle-High Income
8299,4,0.5714285714285714,"R jolad,",R JOLAD,0.5714285714285714,0.5714285714285714,0.8571428571428571,0.42857142857142855,0.5714285714285714,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.5,0.375,0.625,0.875,0.25,0.125,0.75,1.0,Not good at all,7,4,5,Traditional Channels,"In Person,",Female,35 - 39,Benue,University (BSc/BA/B.Ed) Or Polytechnic (HND) Graduate,"N151,000 - N199,000",Nigerian,,COMP_01198,NEGATIVE,detractor,Mid-Career,Middle-High Income
11397,4,0.14285714285714285,"R jolad,",R JOLAD,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,1.0,0.75,0.5,0.875,0.625,0.25,0.125,0.375,Lots of improvements needed,4,4,4,Both Digital and Traditional Channels,"In Person,",Female,30 - 34,Lagos,"Masters, Professorial, Doctorate, Professional Certification","N300,000 - N500,000",Nigerian,10OM003,COMP_01198,NEUTRAL,detractor,Mid-Level Professionals,Middle-High Income
11991,4,0.42857142857142855,"R Jolad,Lagoon hospital,Lagos,",R JOLAD,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.875,0.25,0.125,0.625,0.375,0.5,0.75,1.0,Very poor and not customer centric,7,2,0,Traditional Channels,"In Person,",Female,40 - 49,Lagos,"Masters, Professorial, Doctorate, Professional Certification","N500,000 - N1m",Nigerian,2CI009,COMP_01198,NEGATIVE,detractor,Experienced Professionals,High Income
18305,5,0.5714285714285714,"INDRIVE,",INDRIVE,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.7142857142857143,0.42857142857142855,0.5714285714285714,1.0,0.625,0.125,0.75,0.5,0.375,0.25,0.875,Essay Accessibility,6,5,5,Both Digital and Traditional Channels,"In Person,",Female,30 - 34,Katsina,University (BSc/BA/B.Ed) Or Polytechnic (HND) Graduate,Business Person/Income Not Fixed,Nigerian,"From Friend, Colleague/Family",COMP_00689,NEUTRAL,detractor,Mid-Level Professionals,Income not fixed
22087,7,0.5714285714285714,"Jiji,",JIJI,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.5,0.375,0.125,0.25,0.625,1.0,0.75,0.875,Very slow,3,4,4,Both Digital and Traditional Channels,"In Person,",Male,30 - 34,Abuja,Ond/Pre Degree/Diploma,"N151,000 - N199,000",Nigerian,1oi033,COMP_00733,NEGATIVE,detractor,Mid-Level Professionals,Middle-High Income
22088,9,0.5714285714285714,"Bukka Hut,Mega Chicken,",MEGA CHICKEN,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.125,0.5,0.25,0.375,0.625,0.875,0.75,1.0,Very rude,4,4,4,Both Digital and Traditional Channels,"In Person,",Male,30 - 34,Lagos,University (BSc/BA/B.Ed) Or Polytechnic (HND) Graduate,"N300,000 - N500,000",Nigerian,1oi033,COMP_00896,NEGATIVE,detractor,Mid-Level Professionals,Middle-High Income
8486,4,1.0,"R Jolad,Nidus Aquilae,",NIDUS AQUILAE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.625,0.125,0.25,0.75,0.375,0.5,1.0,They can do more,7,7,10,Traditional Channels,"In Person,",Female,30 - 34,Lagos,University (BSc/BA/B.Ed) Or Polytechnic (HND) Graduate,"N80,000 - N99,000",Nigerian,AR0040,COMP_00987,NEUTRAL,promoter,Mid-Level Professionals,Lower-Middle Income
27101,1,0.7142857142857143,"OPAY BANK,",OPAY BANK,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.25,0.875,0.125,0.5,0.375,1.0,0.75,0.625,good,1,6,9,Digital Channels,"Text/Over the Phone,Email,",Male,25 - 29,Nasarawa,University (BSc/BA/B.Ed) Or Polytechnic (HND) Graduate,"N200,000 - N300,000",Nigerian,WA202637,COMP_01081,POSITIVE,promoter,Early Career,Middle-High Income
