company_id,sector,overall_cx_score
COMP_00001,9,71.03174603174602
COMP_00002,634,66.74603174603173
COMP_00003,7,96.42857142857143
COMP_00004,632,100.0
COMP_00005,9,100.0
COMP_00006,7,100.0
COMP_00007,2,50.400534045393854
COMP_00008,7,100.0
COMP_00009,5,75.39682539682538
COMP_00010,6,60.73015873015873
COMP_00010,7,65.07936507936508
COMP_00011,5,25.396825396825385
COMP_00012,5,78.39620696763554
COMP_00013,9,86.50793650793649
COMP_00014,4,57.14285714285714
COMP_00015,633,67.06349206349206
COMP_00016,4,32.53968253968254
COMP_00017,633,50.54563492063492
COMP_00018,9,69.84126984126983
COMP_00019,9,99.20634920634922
COMP_00020,633,70.63492063492063
COMP_00021,632,29.36507936507936
COMP_00022,9,94.04761904761905
COMP_00023,6,57.38668961560527
COMP_00024,9,74.60317460317461
COMP_00025,4,69.52380952380952
COMP_00026,4,94.04761904761905
COMP_00027,4,74.09297052154194
COMP_00028,4,52.77777777777777
COMP_00029,4,26.587301587301585
COMP_00030,1,0.0
COMP_00031,1,0.0
COMP_00032,3,58.01587301587301
COMP_00033,632,99.60317460317461
COMP_00034,632,86.9047619047619
COMP_00035,633,47.61904761904761
COMP_00036,5,57.63888888888888
COMP_00037,632,87.1031746031746
COMP_00038,632,85.71428571428572
COMP_00039,633,70.03968253968253
COMP_00040,4,49.4047619047619
COMP_00041,4,43.45238095238094
COMP_00042,4,64.81481481481481
COMP_00043,4,81.74603174603173
COMP_00044,632,72.031005839296
COMP_00045,1,0.0
COMP_00046,5,70.37037037037037
COMP_00047,633,73.30623306233062
COMP_00048,1,0.0
COMP_00049,4,86.5079365079365
COMP_00050,7,77.38095238095238
COMP_00051,1,0.0
COMP_00052,4,87.6984126984127
COMP_00053,9,61.7063492063492
COMP_00054,5,40.873015873015866
COMP_00055,633,71.04978354978354
COMP_00056,9,73.4126984126984
COMP_00057,3,67.64392324093816
COMP_00058,4,83.80952380952381
COMP_00059,5,94.04761904761904
COMP_00060,5,67.72711921648092
COMP_00061,2,64.12137245470579
COMP_00062,4,82.14285714285715
COMP_00063,633,81.34920634920634
COMP_00064,9,73.29931972789116
COMP_00065,6,14.285714285714283
COMP_00066,633,68.25396825396825
COMP_00067,633,65.87301587301587
COMP_00068,5,48.84004884004884
COMP_00069,4,74.60317460317461
COMP_00070,4,76.98412698412699
COMP_00071,7,76.19047619047619
COMP_00072,4,90.87301587301587
COMP_00073,4,66.26984126984127
COMP_00074,9,71.03174603174604
COMP_00075,633,35.317460317460316
COMP_00076,9,88.4920634920635
COMP_00077,4,80.35714285714285
COMP_00078,4,76.58730158730158
COMP_00079,3,100.0
COMP_00080,5,28.968253968253965
COMP_00081,4,71.875
COMP_00082,9,71.42857142857143
COMP_00083,632,100.0
COMP_00084,9,71.42857142857143
COMP_00085,4,21.428571428571423
COMP_00086,9,92.85714285714286
